result_page_number	result_page_index_position	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
1	0	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Everyday Essentials All Purpose Color Vinyl Coated Kettlebells, 10-50 lbs	16.99	112.23	Free delivery on orders over $35		4.5	N
1	1	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Weider Cast Iron Kettlebell with Durable Hammertone Finish, 10-100 lbs, Single	25.96	31.96	Free delivery on orders over $35		4.5	N
1	2	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Cast Iron Kettlebell, Single, 10-80 Pounds	29.97	89.95	Free delivery on orders over $35		4.5	N
1	3	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Everyday Essentials Cast Iron Kettlebell, 5-50 lbs	12.50	99.99	Free delivery on orders over $35		3.0	N
1	4	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	ProsourceFit Solid Cast Iron Kettlebells Weights for Full Body Workout, 5-45 lbs	12.99	17.99	Free delivery on orders over $35		4.5	N
1	5	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Vinyl Kettlebell, Black 5 - 20lbs	28.23	37.63	Free delivery on orders over $35		4.0	N
1	6	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Best Choice Products 3-Piece HDPE Kettlebell Exercise Fitness Weight Set for Full Body Workout w/ 5lb, 10lb, 15lb Weights, Wide Grips, Base Rack - Black	56.99	56.99	Pro sellerSold & shipped by Best Choice Products Free delivery		4.5	N
1	7	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Weider Power Kettlebell Kit, 5 -15 Lbs. with Vinyl Coating and Exercise Chart	59.99	59.99	 Free delivery		3.5	N
1	8	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Bintiva Kettlebells Professional Grade, Vinyl Coated, Solid Cast Iron Weights With a Special Protective Bottom, 5-120 lbs	27.97	27.97	Free delivery on orders over $35		4.5	N
1	9	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Lifeline 62 lb Cast Iron Single Orange Kettlebell	34.30	34.30	Free delivery on orders over $35		4.5	N
1	10	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Everyday Essentials Wide Grip 3 Piece Kettlebell Exercise Fitness Weight Set, 30-45 lbs	56.99	105.83	 Free delivery		4.5	N
1	11	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Tone Fitness Vinyl Kettlebell	21.05	28.99	Free delivery on orders over $35		4.5	N
1	12	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Kettlebell Bodybuilding Strength Training Total Body Fitness Training	32.99	36.99	Sold & shipped by ASASIANS LLC Free delivery		0.0	Y
1	13	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Cast Iron Kettlebell, Black 10LBS - 80LBS	41.00	169.44	Sold & shipped by Georgia Sellers, LLC		4.5	N
1	14	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Elite Kettlebell (6 lbs. - Orange)	78.49	147.67	Sold & shipped by WorkoutHealthy LLC Free delivery		3.0	N
1	15	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	ProsourceFit Vinyl Coated Cast Iron Kettlebells 10-35 lb for Home Gym	22.12	22.12	Sold & shipped by VirVentures Free delivery		2.5	N
1	16	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Cast Iron Kettlebell, Black	67.00	67.00	Sold & shipped by Sharp Shoe Free delivery		0.0	N
1	17	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	"Champion Barbell 8"" Rubber Kettlebell"	94.99	95.25	 Free delivery		1.0	N
1	18	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	3-Piece CAP Barbell Cast Iron Kettlebell Set, 10lb Value Bundle	57.00	57.00	 Free deliveryFree pickup		4.5	N
1	19	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Troy VTX Club Kettlebells	44.99	109.99	Sold & shipped by Unique Fitness Concepts Free delivery		0.0	N
1	20	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Gymax 3PC Vinyl Kettlebell Kit Body Muscles Training Weights Set	55.99	55.99	Sold & shipped by Gymax LLC Free delivery		4.5	N
1	21	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Domyos by DECATHLON - 35lb Kettlebell	79.99	79.99	Pro sellerSold & shipped by Decathlon USA LLC Free delivery		4.5	N
1	22	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Bintiva Professional Grade, Vinyl Coated, Solid Cast Iron Kettlebells - Blue 20lb	34.99	63.99	Sold & shipped by Chic		4.5	N
1	23	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Color Coated Kettlebell with Chrome Handle, 10-35 Pounds	63.99	63.99	Sold & shipped by Marketplace Deals		4.5	N
