result_page_number	result_page_index_position	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
1	0	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(6 Pack) Earth to Skin Hand Sanitizer Gel, 2 oz Scent Free	6.99	6.99	2-day delivery on orders $35+		4.0	N
1	1	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(6 pack) Earth to Skin Hand Sanitizer Gel, 2 oz Blueberry	6.99	6.99	2-day delivery on orders $35+		4.5	N
1	2	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Equate Moisturizing Hand Sanitizer, 60 fl oz	7.46	7.46	2-day delivery on orders $35+Free pickup today		3.0	N
1	3	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Equate Hand Sani	5.24	10.17	Free delivery on orders over $35Free pickup today		4.0	N
1	4	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Hello Bello Gel Hand Sanitizer, 32 fl oz	8.54	8.54	2-day delivery on orders $35+		4.0	N
1	5	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Hello Bello Hand Sanitizer Gel, Unscented, 32oz	8.54	8.54	2-day delivery on orders $35+		4.0	N
1	6	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Equate Moisturizing Hand Sanitizer with Vitamin E, 34 fl oz - May Ship with a Flip Top Cap	5.46	5.46	2-day delivery on orders $35+Free pickup today		4.0	N
1	7	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Germ-X Hand Sanitizer, Fresh Citrus, 8oz	2.27	2.27	Free pickup today		4.5	N
1	8	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Hello Bello Hand Sanitizer Gel, Citrus, 32oz	8.54	8.54	2-day delivery on orders $35+		3.0	N
1	9	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(2 pack) Suave Hand Sanitizer Alcohol Based, 12 oz	7.70	7.70	2-day delivery on orders $35+Free pickup		2.5	N
1	10	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(6 Pack) Earth to Skin Hand Sanitizer Gel, 2 oz Lemon + Basil	6.99	6.99	2-day delivery on orders $35+		4.5	N
1	11	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(6 Pack) Earth to Skin Hand Sanitizer Gel, 2 oz Coconut + Aloe	6.99	6.99	2-day delivery on orders $35+		4.5	N
1	12	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	(6 Pack) Earth to Skin Hand Sanitizer Gel, 2 oz Watermelon	6.99	6.99	2-day delivery on orders $35+		4.5	N
1	13	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Purell Advanced Instant Hand Sanitizer with Pump Dispenser, 8 Fluid Ounce	2.48	2.48	Free pickup today	Pickup Only	4.5	N
1	14	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Germ-X 10oz Original Hand Sanitizer, 10oz Bottle (12 pack)	28.87	28.87	2-day delivery on orders $35+		2.0	N
1	15	hand sanitizer	https://www.walmart.com/search/?cat_id=0&query=hand+sanitizer	Palmer's Hand Sanitizer Spray with Aloe 5.1 fl oz (6 Pack)	20.49	20.49	2-day delivery on orders $35+		4.5	N
