result_page_number	result_page_index_position	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
1	0	masks	https://www.walmart.com/search/?cat_id=0&query=masks	DALIX Cloth Face Mask Reuseable Washable in Assorted Colors Made in USA (5 Pack)	23.39	25.99	2-day delivery on orders $35+Pro sellerSold by DALIX, fulfilled by Walmart		4.5	N
1	0	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Everyday Essentials All Purpose Color Vinyl Coated Kettlebells, 10-50 lbs	16.99	112.23	Free delivery on orders over $35		4.5	N
1	0	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	Clorox Zero Splash Bleach Packs, 12 Count	3.84	3.84	Free pickup today	Pickup Only	4.5	N
1	1	masks	https://www.walmart.com/search/?cat_id=0&query=masks	3-Ply Earloop Face Mask, 25 ct.	14.94	14.94	2-day delivery on orders $35+		3.5	N
1	1	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Weider Cast Iron Kettlebell with Durable Hammertone Finish, 10-100 lbs, Single	25.96	31.96	Free delivery on orders over $35		4.5	N
1	1	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	Purex2 Liquid Color Safe Bleach, Stain Fighter and Bright Booster, 66 Ounce	4.54	4.54	2-day delivery on orders $35+Free pickup today		4.0	N
1	2	masks	https://www.walmart.com/search/?cat_id=0&query=masks	50 PCS Disposable Triple Layer protection face mask General use 3-Ply Blue safety Filter Masks with elastic earloops	9.99	9.99	Sold & shipped by DrHotDeal Free delivery		3.5	N
1	2	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Cast Iron Kettlebell, Single, 10-80 Pounds	29.97	89.95	Free delivery on orders over $35		4.5	N
1	2	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	Great Value Concentrated Fabric Protection Bleach, 81 fl oz	2.94	2.94	Free pickup today	Pickup Only	4.5	N
1	3	masks	https://www.walmart.com/search/?cat_id=0&query=masks	50Pcs Disposable 3-Layer Breathable Disposable Earloop Face Mask(General Use) By Necano	22.99	22.99	2-day delivery on orders $35+Pro sellerSold by Necano Inc, fulfilled by Walmart		4.0	Y
1	3	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	Everyday Essentials Cast Iron Kettlebell, 5-50 lbs	12.50	99.99	Free delivery on orders over $35		3.0	N
1	3	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	New - Clorox Germicidal Bleach, Regular (Concentrated Formula) - 81 Ounce Bottle	19.99	19.99	Sold & shipped by Soapsplash Free delivery		4.5	N
1	4	masks	https://www.walmart.com/search/?cat_id=0&query=masks	PRO MC 5Pcs Unisex Variety Pack Face Mask Protect Reusable Comfy Washable Made In USA Masks	24.95	24.95	2-day delivery on orders $35+Sold by RKAPPARELUSA, fulfilled by Walmart		5.0	N
1	4	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	ProsourceFit Solid Cast Iron Kettlebells Weights for Full Body Workout, 5-45 lbs	12.99	17.99	Free delivery on orders over $35		4.5	N
1	4	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	Great Value Low-Splash Bleach, Lavender Scent, 81 fl oz	2.94	2.94	Free pickup today	Pickup Only	4.5	N
1	5	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Disposable 3-Ply Face Mask, 50 Pack	33.25	33.25	2-day delivery on orders $35+		4.0	N
1	5	 kettlebells	https://www.walmart.com/search/?cat_id=0&query=+kettlebells	CAP Barbell Vinyl Kettlebell, Black 5 - 20lbs	28.23	37.63	Free delivery on orders over $35		4.0	N
1	5	 bleach	https://www.walmart.com/search/?cat_id=0&query=+bleach	Great Value Cleaning Bleach, Lemon Scent, 81 fl oz	2.94	2.94	Free pickup today	Pickup Only	4.5	N
