result_page_item_position_index	result_page_number	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
0	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"IBC Root Beer Made with Sugar Soda, 12 Fl Oz Glass Bottles, 4 Count"	$3.24	$3.24	Free pickup today	Pickup Only	4.5	N
1	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Fever Tree Ginger Beer, 4 pack, 6.8 fl oz bottles"	$4.98	$4.98	Free pickup today	Pickup Only	4.5	N
2	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob ULTRA Light Beer, 24 Pack Beer, 12 FL OZ Cans"				In-store purchase only	4.5	N
3	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bundaberg Brewed Drinks Bundaberg  Ginger Beer, 4 ea"	$5.98	$5.98	Free pickup today		5	Y
4	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"A&W Root Beer, 7.5 fl oz cans, 6 pack"	$2.50	$2.50	Free pickup today	Pickup Only	4.5	N
5	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Keystone Light Beer, Lager Beer, 30 Pack Beer, 12 FL OZ Cans, 4.1% ABV"				In-store purchase only	0	Y
6	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Athletic Brewing Company - Craft Non-Alcoholic Beer - Run Wild Session IPA, Low Calorie, Award Winning, 12 fl oz Cans, Pack of 12"	$27.99	$27.99	Sold & shipped by Athletic Brewing Company Free delivery		5	N
7	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Athletic Brewing Company - Craft Non-Alcoholic Beer - Upside Dawn, Run Wild & Cerveza Atletica Mixed Case, Low Calorie, Award Winning, 12 fl oz, Pack of 18"	$39.99	$39.99	Sold & shipped by Athletic Brewing Company Free delivery		5	N
8	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 30 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
9	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Busch Light Beer, 30 Pack Beer, 12 FL OZ Cans, 4.1% ABV"				In-store purchase only	4.5	N
10	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Coors Light Beer, Light Lager Beer, 30 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	4.5	N
11	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Natural Light Beer, 30 Pack Beer, 12 FL OZ Cans"				In-store purchase only	4.5	N
12	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	MALTA INDIA 42OZ	$3.78	$3.78	Free pickup today	Pickup Only	5	N
13	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"TRULY Lemonade Hard Seltzer Variety, 12 PACK, 12oz beer cans, Gluten Free, Light"				In-store purchase only	4.5	N
14	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Corona Extra Mexican Lager Beer, 12 pk 12 fl oz Bottles, 4.6% ABV"				In-store purchase only	0	N
15	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"TRULY Hard Seltzer Berry Variety, 12pk, 12oz beer white cans, Gluten Free, Light"				In-store purchase only	4	Y
16	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Miller Lite Lager Beer, Light Beer, Beer 30 Pack, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	4	N
17	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Coors Banquet Lager Beer, Beer 30 Pack, 12 FL OZ Cans, 5% ABV"				In-store purchase only	5	N
18	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Natural Light Beer, 15 Pack Beer, 12 FL OZ Cans"				In-store purchase only	0	N
19	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Budweiser Beer, 30 Pack Beer, 12 FL OZ Cans, 5% ABV"				In-store purchase only	5	N
20	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Goya Malt Beverage, 7 Fl Oz, 6 Count"	$3.98	$3.98	Free pickup today	Pickup Only	4.5	N
21	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Michelob ULTRA Light Beer, 24 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4.5	N
22	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Corona Extra Mexican Lager Beer, 24 pk 12 fl oz Bottles, 4.6% ABV"				In-store purchase only	4.5	N
23	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Dos Equis Lager Especial Beer, 12 pack, 12 fl oz"				In-store purchase only	4.5	N
24	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 12 Pack Beer, 12 FL OZ Cans, 4.2% ABV"				In-store purchase only	5	N
25	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Coors Light Lager Beer, 12 Pack, 12 FL OZ Bottles"				In-store purchase only	0	N
26	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 12 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	0	N
27	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Bud Light Beer, 24 Pack Beer, 12 FL OZ Bottles, 4.2% ABV"				In-store purchase only	4.5	N
28	1	beer	https://www.walmart.com/search/?cat_id=0&query=beer	"Modelo Especial Mexican Lager Beer, 24 pk 12 fl oz Bottles, 4.4% ABV"				In-store purchase only	4.5	N
