result_page_number	result_page_index_position	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
1	0	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Coca-Cola Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
1	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
1	2	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
1	3	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96	2-day delivery on orders $35+		4.5	Y
1	4	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
1	5	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Diet Coke Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
1	6	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Diet Coke Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
1	7	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today	Pickup Only	4.5	Y
1	8	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
1	9	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
1	10	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
1	11	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Cherry Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
1	12	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Cherry Coke Mini Cans, Cherry Flavored Coca-Cola Soda Soda Soft Drink, Fridge Pack, 7.5 fl oz, 10 Pack	9.96	9.96			4.0	Y
1	13	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Caffeine Free Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today		4.5	Y
1	14	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96			4.5	Y
1	15	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 8 fl oz, 6 Pack	4.68	4.68	Free pickup today	Pickup Only	4.5	Y
1	16	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Diet Coke Soda Soft Drink, 7.5 fl oz, 10 Pack	10.65	10.65			4.5	Y
1	17	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
1	18	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Mexican Coke Soda Soft Drink, 355 mL, 4 Pack	4.68	4.68	Free pickup today		4.5	Y
