result_page_number	result_page_index_position	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
1	0	masks	https://www.walmart.com/search/?cat_id=0&query=masks	DALIX Cloth Face Mask Reuseable Washable in Assorted Colors Made in USA (5 Pack)	23.39	25.99	2-day delivery on orders $35+Pro sellerSold by DALIX, fulfilled by Walmart		4.5	N
1	1	masks	https://www.walmart.com/search/?cat_id=0&query=masks	3-Ply Earloop Face Mask, 25 ct.	14.94	14.94	2-day delivery on orders $35+		3.5	N
1	2	masks	https://www.walmart.com/search/?cat_id=0&query=masks	50 PCS Disposable Triple Layer protection face mask General use 3-Ply Blue safety Filter Masks with elastic earloops	9.99	9.99	Sold & shipped by DrHotDeal Free delivery		3.5	N
1	3	masks	https://www.walmart.com/search/?cat_id=0&query=masks	50Pcs Disposable 3-Layer Breathable Disposable Earloop Face Mask(General Use) By Necano	22.99	22.99	2-day delivery on orders $35+Pro sellerSold by Necano Inc, fulfilled by Walmart		4.0	Y
1	4	masks	https://www.walmart.com/search/?cat_id=0&query=masks	PRO MC 5Pcs Unisex Variety Pack Face Mask Protect Reusable Comfy Washable Made In USA Masks	24.95	24.95	2-day delivery on orders $35+Sold by RKAPPARELUSA, fulfilled by Walmart		5.0	N
1	5	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Disposable 3-Ply Face Mask, 50 Pack	33.25	33.25	2-day delivery on orders $35+		4.0	N
1	6	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Headband + Reusable Cotton Mask Face Covering 2-Layer Womens Hairband Fashion Masks	7.99	7.99	Pro sellerSold & shipped by RC LLC Free delivery		4.5	Y
1	7	masks	https://www.walmart.com/search/?cat_id=0&query=masks	10 ct. Pack, Disposable 3-Ply Face Masks	6.99	6.99	2-day delivery on orders $35+		4.0	N
1	8	masks	https://www.walmart.com/search/?cat_id=0&query=masks	4Pcs Unisex Shiny Sequin Metallic Face Mask Protect Reusable Comfy Washable Made in USA	25.95	25.95	2-day delivery on orders $35+Sold by RKAPPARELUSA, fulfilled by Walmart		5.0	Y
1	9	masks	https://www.walmart.com/search/?cat_id=0&query=masks	3 Pcs unisex Camo Print Variety Pack Face Mask Reusable Comfortable Washable Made In USA masks	24.99	24.99	2-day delivery on orders $35+Pro sellerSold by Grocer Depot, fulfilled by Walmart		4.0	Y
1	10	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Basic Equipment 3-Ply Disposable Face Masks, 25 ct.	14.94	14.94	2-day delivery on orders $35+		3.5	N
1	11	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Adult Reusable Face Masks, 2-pack	3.97	3.97	2-day delivery on orders $35+		4.5	Y
1	12	masks	https://www.walmart.com/search/?cat_id=0&query=masks	50 Disposable Face Masks, 3-ply Breathable Dust Protection Masks, Elastic Ear Loop Filter Mask	11.99	11.99	2-day delivery on orders $35+Pro sellerSold by Grocer Depot, fulfilled by Walmart		4.0	N
1	13	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Chromex 3 Ply Non Woven Ear Loop Style Breathable Disposable Face Masks	5.99	37.95	2-day delivery on orders $35+Sold by PSG Innovations, fulfilled by Walmart		4.0	N
1	14	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Essentially Yours 50 Pcs 3 Ply Ear Loop Disposable Face Masks	9.80	9.80	Sold & shipped by PSG Innovations Free delivery		4.0	N
1	15	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Hanes Wicking Cotton Masks, 10 Pack	19.50	25.43	Free delivery on orders over $35		3.5	N
1	16	masks	https://www.walmart.com/search/?cat_id=0&query=masks	DALIX Cloth Face Mask Reuseable Washable in Black Made in USA (3 Pack)	14.39	15.99	2-day delivery on orders $35+Pro sellerSold by DALIX, fulfilled by Walmart		4.0	N
1	17	masks	https://www.walmart.com/search/?cat_id=0&query=masks	Pegasos 50 Disposable Breathable 3 Ply Ear Loop Face Masks, 50-Pack	7.99	7.99	2-day delivery on orders $35+Sold by PSG Innovations, fulfilled by Walmart		3.5	N
