INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
26713,2020-10-18,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
26713,2020-10-18,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
36625,2020-11-05,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
36625,2020-11-05,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
90355,2020-10-17,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
90355,2020-10-17,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
153990,2020-10-31,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
153990,2020-10-31,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
175356,2020-11-02,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
175356,2020-11-02,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
215624,2020-10-23,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
215624,2020-10-23,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
251683,2020-10-24,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
251683,2020-10-24,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
323058,2020-10-19,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
323058,2020-10-19,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
346105,2020-10-22,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
346105,2020-10-22,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
403269,2020-10-30,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
403269,2020-10-30,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
406860,2020-10-28,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
406860,2020-10-28,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
409693,2020-11-04,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
409693,2020-11-04,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
436243,2020-10-29,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
436243,2020-10-29,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
506585,2020-11-01,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
506585,2020-11-01,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
523840,2020-11-03,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
523840,2020-11-03,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
559161,2020-10-26,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
559161,2020-10-26,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
716093,2020-10-25,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
716093,2020-10-25,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
763060,2020-10-21,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
763060,2020-10-21,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
907397,2020-10-27,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
907397,2020-10-27,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
911221,2020-10-20,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
911221,2020-10-20,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
